GOOGL,0
CMG,0
GE,0
MMM,0
AMGN,0
GS,0
BDX,0.012
KMB,0.011
CLX,0.005
APD,0.016
IBM,0
MCD,0
ECL,0
IFF,0.019
WPP,0
LIN,0
JNJ,0.005
INGR,0
PEP,0
DIS,0.008
VMC,0
PPG,0.009
HSY,0
EL,0.01
SLG,0.006
KRYAY,0.016
PG,0
DE,0
DLR,0
LYB,0.006
WBA,0
SAP,0
PVH,0.005
MAC,0
K,0
MDT,0
OMC,0.016
LLY,0
NSRGY,0
KOF,0.018
TGT,0.018
CL,0
MAR,0
WMT,0
NVS,0.005
AVY,0.011
BMY,0
FSLR,0
MAXR,0
FCEL,0.017
CPB,0
NKE,0
GIS,0.016
WSM,0.019
SBUX,0.013
VFC,0.01799999999999935
TEL,0
PCG,0
WM,0.018
BMO,0
ES,0
ADDYY,0
MSFT,0
NVO,0
KRC,0
CAKE,0.018
AGCO,0.007
CCEP,0
MRK,0.007
ENS,0
ASH,0
MKC,0.007
RSG,0
RDY,0
KSS,0
NVZMY,0.014
UL,0
SNPS,0.007
KO,0
WDC,0
H,0
SVFD,0.019
OC,0.014
FDP,0.006
MDLZ,0
C,0
GSK,0
SNY,0.013
PLD,0
GVDNY,0.015
HAIN,0.014
FUJIY,0
ORCL,0
ITRI,0.018
ORA,0
LRLCY,0
NJR,0
TSLA,0.005
IP,0
ADM,0
ENB,0
HSBC,0
CAG,0
PNR,0.009
RHHBY,0
EDPFY,0.009
AZN,0
INTC,0
CAJ,0
PFE,0
NEE,0
KBCSY,0
CSCO,0
UUGRY,0.019
CRH,0
CWT,0.015
GPS,0.006
FHI,0
NEM,0
GIL,0.007
XRX,0
PHG,0
WY,0
DPSGY,0
HPP,0
VEOEY,0
SONVY,0.005
STN,0
BNPQY,0.011
AXAHY,0.015
TAK,0.015
TRMB,0.013
HENKY,0
SSREY,0
AKZOY,0
AMRS,0.018
SONY,0
EXC,0
TS,0
ZURVY,0
BIP,0.007
SOMMY,0
JKS,0.012
SDXAY,0.008
SWDBY,0
SSEZY,0.015
CSIQ,0.005
YARIY,0
MGDDY,0
CMPGY,0.016
CJPRY,0
BDRFY,0
VCISY,0.013
SMTC,0.012
FRRVY,0.015
SSYS,0.012
MKKGY,0
AIQUY,0
DB,0
SYIEY,0
SPWR,0
IDEXY,0
SKHSY,0
UBS,0
JSAIY,0
HST,0
HDELY,0.009
CMC,0
SCHN,0.005
TU,0
CS,0
DANOY,0
BAK,0
RDSMY,0
GOLD,0
ING,0.02
AU,0
TSCDY,0.015
NRDBY,0
RDEIY,0.012
KGFHY,0
SLP,0.013
BYDDY,0.019
SWRAY,0.009
TREX,0
SEOAY,0
ORKLY,0
HCMLY,0
PCRFY,0.013
ACCYY,0
YAHOY,0
KPELY,0
KNDI,0
NWG,0
IRDM,0.009
TOSYY,0
FCX,0.015
NVDA,0.015
SOL,0
HNNMY,0
DKILY,0.007
SVNLY,0
BEEM,0.018
AMSC,0.013
SBS,0.009
CRRFY,0
CRARY,0
STKL,0.009
AEG,0
CX,0
VWDRY,0
GFI,0.015
ENLAY,0.017
NHYDY,0
GCTAY,0.014
LYG,0.008
FSM,0
WNDW,0
KGC,0
AUY,0
CBAT,0
PLUG,0
BWEN,0.018
BLDP,0
